Generation	Smiles	Inchi
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ
G2	C(C(C(C(CO)O)O)N)=O	RNZJRDIKDNXKIJ
G2	C(C(C(C(C(CO)O)O)O)N)=O	FZHXIRIBWMQPQF
G2	C(C(C(CN)O)N)=O	QSBOQJCOHPCHRB
G2	C(C(C(C(CO)O)O)O)=O	PYMYPHUHKUWMLA
G2	C(C(C(CN)O)O)=O	JIDVIMQFVJVPPX
G2	C(C(C(CO)O)N)=O	UQNPMNUVBRVOCQ
G2	C(CO)(C(CO)O)=O	UQPHVQVXLPRNCX
G2	C(CNCC=O)(C(CO)O)=O	UAOKRFJFLAUQNR
G2	C(CN)(C(CO)O)=O	WZDHWMRAASHPBX
G2	C(C(CO)O)O	PEDCQBHIVMGVHV
G2	C(C(C(CO)O)O)O	UNXHWFMMPAWVPI
G2	C(C(CO)O)(O)=O	RBNPOMFGQQGHHO
G2	C(C(C(CO)O)O)(O)=O	JPIJQSOTBSSVTP
G2	C(C(CO)(C(CN)O)O)=O	MMZWUQKSIXGQLM
G2	C(C(C(CO)O)(C(CN)O)O)=O	MGKXNCNVFOFGIA
G2	C(C(CO)(CO)O)=O	OUEKYUKJSLEOIU
G2	C(C(CO)(C(CO)O)O)=O	XUSNIIKGKKSRDZ
G2	C(C(C(CN)O)O)(O)=O	WITVYMTUWTVRND
G2	C(C(C(CO)NCC=O)O)=O	GECVMGDGBBOZSR
G2	C(C(C(CO)N)O)=O	KXMAOQJMLAAVJY
G2	C1C(C(C(O)O1)O)O	FMAORJIQYMIRHF
G3	C1(CNCC(C1O)O)=O	PSUSVGBSODGBTL
G3	C(C1C(C(CN1)O)O)=O	OGYDNRAJWUFKAN
G3	C(C1C(C(C(CO)N1)O)O)=O	JOIYHICQTODJOT
G3	C(CC(C(C(CN)O)N)O)=O	KWDCSBRDQCQHKH
G3	C(CO)(C(C(C(CO)N)O)O)=O	BKWXDOXHLINVQC
G3	C(CN)(C(C(C(CO)N)O)O)=O	IYXIHIRGJNTXQT
G3	C(CO)(C(C(C(CO)N)O)N)=O	NGRFFJHDPIXBCS
G3	C(C(C=O)C(C(CO)N)O)=O	TYEPXMQCSLBUQN
G3	C(C(CC(C(CO)N)O)=O)=O	XGYVTXGBKAEKSN
G3	C(CC(C(CO)N)O)=O	REQIOPDLGNSWSP
G3	C(CC(C(C(CN)O)O)O)=O	SKHQXBWWPZVTBL
G3	C(CC(C(C(CO)O)N)O)=O	WCLOIEVAMMWGKD
G3	C(C(C(C(CO)=O)O)O)=O	XIIKTJZKWRJKSI
G3	C(C(C(C(CN)=O)O)O)=O	YRBZBJHRIGQRSX
G3	C(C(C(C(CO)=O)N)O)=O	QWVSJAOISGILAV
G3	C(C(C(C=O)O)N)(C(CO)O)=O	AJMCRODHPLSBIB
G3	C(CO)(C(C(CO)(CN)O)O)=O	YJJIGISOUUDFAW
G3	C(CN)(C(C(CO)(CO)O)O)=O	CRISNEGXHCJDRX
G3	C(CO)(C(C(CO)(CO)O)N)=O	RKOMMPNHRBOXSS
G3	C(CC(C(C(CO)=O)O)O)=O	DPJVCISCLBZLDP
G3	C(C(C=O)C(CO)(CO)O)=O	HWDQZMAZCTUFGO
G3	C(C(C)(C(C(CO)=O)O)O)=O	HCDKHGUYCIRFGC
G3	C(C)(C(C(C(CO)=O)O)O)=O	KFHNTUHHTDAEOF
