Generation	Smiles	Inchi	Energy Change	Reaction IDs
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ	[]	[]
G1	C(C(CC(C(CO)O)O)=O)=O	ZGCHLOWZNKRZSN	[-41.01]	[['11_0']]
G1	C(CC(C(C(CO)O)O)=O)=O	RXVDSZVTHMJWNV	[-53.84]	[['13_0']]
G1	C(C(C(CC(CO)O)=O)O)=O	QBHBJCPWTMMDIG	[-97.97]	[['15_0']]
G1	C(CC(C=O)O)(C(CO)O)=O	LVYQXQPAYHNLQF	[-41.01]	[['17_0']]
G1	C(C(C(C=O)O)O)(CCO)=O	KTQQRSZBGCOSES	[-41.01]	[['19_0']]
G1	C(C(C(CC(CO)=O)O)O)=O	ZNSXGNZNZVWMBM	[-41.01]	[['21_0']]
G1	C(C(C(C(C(C)=O)O)O)O)=O	MKKWPESNDMZCAX	[-45.4]	[['23_0']]
G1	C(CC(C(C(C=O)O)O)O)=O	DRFVLWXFACEMHK	[-39.01]	[['25_0']]
G2	C1(C(C(C(C1CO)O)O)O)=O	LKUVPWZWJWOYKB	[-129.28]	[['33_0', '19_0']]
G2	C1(C(C(C(C(C1)O)O)O)O)=O	GZYCZKBRQBKGJW	[-132.13]	[['35_0', '21_0']]
G2	C(C1C(C(C(C1O)O)O)O)=O	FWWLBYLLLIZJAL	[-107.52000000000001]	[['38_0', '25_0']]
G2	C(CO)(C(CO)O)=O	UQPHVQVXLPRNCX	[-196.35]	[['80_0', '39_0', '71_0', '71_0', '23_0', '23_0']]
G2	C(CC(C(C(CO)O)=O)O)=O	ZJCIIXYSVSASQO	[]	[]
G2	C(C(CO)=O)(CC(CO)O)=O	OKVIFNQBEGMUGM	[-43.01]	[['160_0', '6_0']]
G2	C(C(C(CC(CO)O)O)=O)=O	LZWSFTUENIWOJY	[]	[]
G2	C(C(CO)O)(CC(CO)=O)=O	JVFNKFJEKRIBEO	[-43.01]	[['91_0', '17_0']]
G2	C(C(CC(C(CO)=O)O)O)=O	IIVQAABKLUTFMY	[-41.01]	[['93_0', '17_0']]
G2	C(CCO)(C(C(CO)=O)O)=O	RWEGJCQFZKJRNT	[-43.01]	[['95_0', '19_0']]
G2	C(C(C(C(CCO)O)=O)O)=O	KQLFTMYZWPHWPS	[-41.01]	[['97_0', '19_0']]
G2	C(CO)(C(CC(CO)=O)O)=O	QORDBZPIKABGJM	[-43.01]	[['99_0', '21_0']]
G2	C(C(C(CC(C=O)O)O)O)=O	ZAZMXMODCOTURY	[]	[]
G2	C(C)(C(C(C(CO)=O)O)O)=O	KFHNTUHHTDAEOF	[-47.4]	[['103_0', '23_0']]
G2	C(C(C(C=O)O)O)(C(C)O)=O	LLJOTQMGGPLNOO	[-45.4]	[['105_0', '23_0']]
G2	C(CC(C(C(CO)=O)O)O)=O	DPJVCISCLBZLDP	[-41.01]	[['107_0', '25_0']]
G2	C(C(C(CO)O)O)O	UNXHWFMMPAWVPI	[-211.62]	[['111_0', '39_0', '71_0', '71_0', '23_0', '23_0']]
G2	C(CO)(CC(C(CO)O)O)=O	OXFWZSUJNURRMW	[-58.28]	[['113_0', '11_0']]
G2	C(C(C(CO)O)O)(CCO)=O	MSERTCQRMJDWLM	[-58.28]	[['115_0', '13_0']]
G2	C(C(CO)O)(CC(CO)O)=O	ZFKOVTBOKTVFNN	[-58.28]	[['118_0', '17_0']]
G2	C(C)(C(C(C(CO)O)O)O)=O	IXDZFGATLNCIOI	[-62.67]	[['122_0', '23_0']]
G2	C(CC(C(C(CO)O)O)O)=O	VRYALKFFQXWPIH	[-56.28]	[['124_0', '25_0']]
G2	C(C(C(C(CCO)O)O)O)=O	QITFYRWXWLBOON	[-56.28]	[['126_0', '25_0']]
G2	C(C(C(CO)O)O)(O)=O	JPIJQSOTBSSVTP	[-211.62]	[['130_0', '39_0', '71_0', '71_0', '23_0', '23_0']]
G2	C1(CC(C(C1(CO)O)O)O)=O	OOMLFVGHKQXLAI	[-132.6]	[['150_0', '17_0']]
G2	C(C1(C(C(CC1O)O)O)O)=O	KTMZJGYSSGDOQI	[-110.85]	[['152_0', '25_0']]
G2	C1(CC(C(C(CO)O)O1)O)=O	WIKTYYPIOVPRBF	[-67.33]	[['216_0', '27_0']]
G2	C1(COC(C(CO)O)C1O)=O	QMKUJGYJIQIANY	[-53.14]	[['218_0', '27_0']]
G2	C1(C(O)OC(C(CO)O)C1)=O	CTMYXQCRPPOKCU	[-53.14]	[['220_0', '27_0']]
G2	C1(C(C(CO)O)OC(C1)O)=O	GONGZWHRWCYDTA	[-53.14]	[['222_0', '27_0']]
