Generation	Smiles
G0	C(C(C)=O)(O)=O
G0	O
G1	C(C(C)(CC(C(O)=O)=O)O)(O)=O
G1	C(C(CO)O)(O)=O
G1	C(C)=O
G1	C(=O)=O
G2	C(CC(C)O)=O
G2	C(CC(O)=O)=O
G2	C(C(CC(C)O)=O)(O)=O
G2	C(C(C)(CC=O)O)(O)=O
G2	C(CC(C(O)=O)=O)(O)=O
G2	C(C(O)=O)(CC(C(C)=O)=O)=O
G2	C(C(CO)=O)=O
G2	C(C(CO)(C(C)O)O)(O)=O
G2	C(C(C(O)=O)(CO)O)(O)=O
G2	C(C(CO)(C(C(O)=O)(C)O)O)(O)=O
G2	C=O
G2	C(CO)(O)=O
G2	C(C(C)=CC(C(O)=O)=O)(O)=O
G2	C=C(C(O)=O)CC(C(O)=O)=O
G2	C(C(C)(C(C(C(O)=O)O)O)O)(O)=O
G2	C(CO)O
G2	C1(C(C)(CC(C(O)=O)(O)O1)O)=O
G2	C(C1(C)CC(C(O1)=O)=O)(O)=O
G2	C1(C(C)(CC(C(O1)=O)=O)O)=O
G3	C(C1(CC(C(C1)=O)=O)O)(O)=O
G3	C(C(C(C)O)C(CC(C)O)O)=O
G3	C(C(C(CC(O)=O)O)C(C)O)=O
G3	C(C(C=O)C(CC(C)O)O)(O)=O
G3	C(C(C(C)O)C(C(CO)=O)O)=O
G3	C(C(C(C)O)C(C=O)(CO)O)=O
G3	C(C(C(C(CC(C)O)O)O)=O)=O
G3	C(C(CO)C(C)O)=O
G3	C(C(C=O)C(CC(O)=O)O)(O)=O
G3	C(C(C=O)C(C(CO)=O)O)(O)=O
G3	C(C(C=O)C(C=O)(CO)O)(O)=O
G3	C(CC(C(C(C=O)=O)O)O)(O)=O
G3	C(C(C=O)CO)(O)=O
G3	C(C(C(CO)C(C)O)=O)(O)=O
G3	C(C(CO)C(C(O)=O)(C)O)=O
G3	C(C(C(C(O)=O)=O)CO)(O)=O
G3	C(C(C(C(C(C)=O)=O)CO)=O)(O)=O
G3	C(C(CC(C(CCO)=O)=O)=O)(O)=O
G3	C(CO)(C(C(C(C=O)=O)O)O)=O
G3	C(C(CO)(C(C(C=O)=O)O)O)=O
G3	C(C(C(CO)O)=O)=O
G3	C=C(C(O)=O)C(C(C(O)=O)=O)CO
G3	C(C1(C)C(C(C(O1)=O)=O)CO)(O)=O
G3	C1(C(C)(C(C(C(O1)=O)=O)CO)O)=O
G3	C(CC(CC(C)O)O)=O
G3	C(C(C(C)O)C(C)O)=O
G3	C(CC(CC=O)O)(O)=O
G3	C(C(C=O)C(C)O)(O)=O
G3	C(C(CC(C)O)(CC=O)O)(O)=O
G3	C(C(C(C(C)O)C(C)O)=O)(O)=O
G3	C(C(C)(CC(CC=O)O)O)(O)=O
G3	C(C(C(C)O)C(C(O)=O)(C)O)=O
G3	C(CC(C(O)=O)(CC=O)O)(O)=O
G3	C(C(C(C(O)=O)=O)C(C)O)(O)=O
G3	C(CC(C(CO)=O)O)=O
G3	C(C(CO)(CC=O)O)=O
G3	C(C(C(C(C)O)O)=O)=O
G3	C(CCO)=O
G3	C(C(C(O)=O)C(O)=O)=O
G3	C(C(C=O)C(C(O)=O)(C)O)(O)=O
G3	C(C(C(O)=O)C(C(O)=O)=O)(O)=O
G3	C(C(C(C=O)=O)O)(O)=O
G3	C(C(CC(CC(C)O)O)=O)(O)=O
G3	C(CC(CC(C(O)=O)=O)O)(O)=O
