Generation	Smiles	Inchi	Energy Change	Reaction IDs
G1	C(C(CO)O)(O)=O	RBNPOMFGQQGHHO	[39.62]	[['5_0']]
G2	C(C(CO)(C(C)O)O)(O)=O	WKRKESUWTIYINN	[-26.390000000000004]	[['25_0', '5_0', '8_0']]
G3	C(C(C(CC(O)=O)O)C(C)O)=O	YTCZJXDURLPWNQ	[-183.72]	[['55_0', '10_0', '12_0', '8_0', '8_0', '8_0', '8_0']]
G3	C(C(C=O)C(CC(C)O)O)(O)=O	IHSFWOVWMRACIR	[-183.72]	[['57_0', '10_0', '12_0', '8_0', '8_0', '8_0', '8_0']]
G3	C(C(C(C)O)C(C(CO)=O)O)=O	CPUSMWJJBISCJI	[-71.30000000000001]	[['59_0', '10_0', '22_0', '8_0', '8_0', '5_0']]
G3	C(C(C(C)O)C(C=O)(CO)O)=O	FDSHEHPBHWGLQY	[-66.66]	[['61_0', '10_0', '22_0', '8_0', '8_0', '5_0']]
G3	C(C(C(C(CC(C)O)O)O)=O)=O	RLPBKLOISADAAA	[-78.03]	[['63_0', '10_0', '22_0', '8_0', '8_0', '5_0']]
G3	C(C(C(CO)C(C)O)=O)(O)=O	OTZRLOUETUNNPF	[-43.430000000000014]	[['77_0', '14_0', '32_0', '8_0', '5_0']]
G3	C(C(CO)C(C(O)=O)(C)O)=O	BFZNNUQWZSQLIJ	[-38.78000000000001]	[['79_0', '16_0', '32_0', '8_0', '5_0']]
G3	C(C(CC(C)O)(CC=O)O)(O)=O	VWVQXOPQCDMBFD	[-129.67000000000002]	[['107_0', '8_0', '14_0', '8_0']]
G3	C(C(C(C(C)O)C(C)O)=O)(O)=O	DKTZGQOJHCXEEP	[-131.98000000000002]	[['109_0', '8_0', '14_0', '8_0']]
G3	C(C(C)(CC(CC=O)O)O)(O)=O	DMMYGKQJPXLURW	[-129.66000000000003]	[['111_0', '8_0', '16_0', '8_0']]
G3	C(C(C(C)O)C(C(O)=O)(C)O)=O	MGQBJYDCWJLMCR	[-127.33]	[['113_0', '8_0', '16_0', '8_0']]
G3	C(C(CC(CC(C)O)O)=O)(O)=O	CLJFVEVVBOUFBJ	[-134.31]	[['137_0', '10_0', '8_0', '8_0']]
G3	C(C(C)(CCO)O)(O)=O	WPTOKOVIJAZOHE	[-9.050000000000004]	[['184_0', '16_0', '32_0', '8_0', '5_0']]
G3	C(C(C)(CC(O)=O)O)(O)=O	XFTRTWQBIOMVPK	[164.75]	[['196_0', '16_0', '32_0', '8_0', '5_0']]
G3	C(C(CO)(CO)O)(O)=O	OJSKBWPAXWEHAA	[69.42999999999999]	[['210_0', '5_0', '32_0', '5_0']]
G3	C(C(C(CC(C)O)O)O)(O)=O	RADXXSNGCSTPSV	[-244.59999999999997]	[['212_0', '10_0', '32_0', '8_0', '8_0', '5_0']]
G3	C(C(C(C)O)O)(O)=O	LOUGYXZSURQALL	[-180.33999999999997]	[['221_0', '8_0', '32_0', '5_0']]
G3	C(C(C=C)(CO)O)(O)=O	SLQLBHNBWFDOTA	[-352.28999999999996]	[['261_0', '25_0', '5_0', '8_0']]
G3	CC(C(CO)O)O	YAXKTBLXMTYWDQ	[-415.03]	[['277_0', '10_0', '8_0', '8_0']]
G3	C(C(C(C(C)O)O)O)(O)=O	CHUMGDDVFASTDV	[-26.390000000000004]	[['280_0', '14_0', '8_0']]
G3	C(C(C)(C(CO)O)O)(O)=O	UXJDESUVPBNUTB	[-209.93]	[['282_0', '16_0', '8_0']]
