Generation	Smiles	Inchi	Energy Change	Reaction IDs
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ	[-16.39]	[['6_0']]
G2	C(C(C(C(CO)O)O)O)=O	PYMYPHUHKUWMLA	[-45.989999999999995]	[['16_0', '4_0']]
G2	C(CO)(C(CO)O)=O	UQPHVQVXLPRNCX	[-18.39]	[['26_0', '6_0']]
G2	C(C(CO)O)O	PEDCQBHIVMGVHV	[-63.01]	[['28_0', '4_0']]
G2	C(C(C(CO)O)O)O	UNXHWFMMPAWVPI	[-41.34]	[['30_0', '6_0']]
G2	C(C(CO)O)(O)=O	RBNPOMFGQQGHHO	[-62.79]	[['32_0', '4_0']]
G2	C(C(C(CO)O)O)(O)=O	JPIJQSOTBSSVTP	[-46.56]	[['34_0', '6_0']]
G2	C(C(CO)(CO)O)=O	OUEKYUKJSLEOIU	[-59.56999999999999]	[['38_0', '4_0']]
G2	C(C(CO)(C(CO)O)O)=O	XUSNIIKGKKSRDZ	[-43.34]	[['40_0', '6_0']]
G2	C1C(C(C(O)O1)O)O	FMAORJIQYMIRHF	[-17.990000000000002]	[['65_0', '6_0']]
G3	C(C(C(C(CO)=O)O)O)=O	XIIKTJZKWRJKSI	[-60.9]	[['69_0', '20_0', '24_0', '14_0', '4_0']]
G3	C(CC(C(C(CO)=O)O)O)=O	DPJVCISCLBZLDP	[-116.6]	[['90_0', '24_0', '51_0', '4_0', '4_0']]
G3	C(C(C=O)C(CO)(CO)O)=O	HWDQZMAZCTUFGO	[-105.22999999999999]	[['92_0', '24_0', '51_0', '4_0', '4_0']]
G3	C(C(C)(C(C(CO)=O)O)O)=O	HCDKHGUYCIRFGC	[-118.35]	[['94_0', '24_0', '53_0', '4_0', '4_0']]
G3	C(C)(C(C(C(CO)=O)O)O)=O	KFHNTUHHTDAEOF	[-123.0]	[['96_0', '24_0', '53_0', '4_0', '4_0']]
G3	C(C(CC(CO)(CO)O)=O)=O	GBYNVYGBOCCFCK	[-113.96000000000001]	[['98_0', '24_0', '53_0', '4_0', '4_0']]
G3	C(CO)(C(C(C)O)O)=O	MRKRITSFTIHTAQ	[-116.34]	[['126_0', '24_0', '63_0', '4_0', '12_0']]
G3	C(CC(CO)(CO)O)=O	RLJYTLNHFAJLAE	[-107.29999999999998]	[['128_0', '24_0', '63_0', '4_0', '12_0']]
G3	C(C(C(C)O)O)(C(CO)O)=O	IWASYLACXSGJPG	[-100.1]	[['140_0', '26_0', '63_0', '6_0', '12_0']]
G3	C(CC(CO)(C(CO)O)O)=O	IDBTYBMNHBMAOU	[-91.07]	[['142_0', '26_0', '63_0', '6_0', '12_0']]
G3	C(CC(C(CO)(CO)O)O)=O	HQMRFNOKWQUHQC	[-136.89]	[['148_0', '38_0', '63_0', '4_0', '12_0']]
G3	C(C(C=O)C(C(CO)O)O)=O	AKTMIDGTSNJTSP	[-107.87]	[['266_0', '4_0', '51_0', '4_0']]
G3	C(C(CC(C(CO)O)O)=O)=O	ZGCHLOWZNKRZSN	[-116.6]	[['268_0', '4_0', '53_0', '4_0']]
G3	C(CC(C(CO)O)O)=O	ASJSAQIRZKANQN	[-109.94]	[['280_0', '4_0', '63_0', '12_0']]
G3	C(CC(C(C(CO)O)O)O)=O	VRYALKFFQXWPIH	[-93.71]	[['286_0', '6_0', '63_0', '12_0']]
G3	C(C(CO)O)(C(CO)O)=O	WXYXERHRDKEISL	[-47.99]	[['289_0', '26_0', '6_0']]
G3	C(C(C(CO)(CO)O)O)=O	AVGPOAXYRRIZMM	[-43.349999999999994]	[['308_0', '24_0', '4_0']]
G3	C(CO)(C(C(CO)O)O)=O	ZAQJHHRNXZUBTE	[-47.989999999999995]	[['310_0', '24_0', '4_0']]
G3	C(C(CCO)(C(C=O)O)O)=O	FAGPJBHKKUOQAR	[-66.13]	[['328_0', '55_0', '6_0']]
G3	C(C(C(C=O)O)O)(CCO)=O	KTQQRSZBGCOSES	[-70.77]	[['330_0', '55_0', '6_0']]
G3	C(C(C(CO)C(CO)O)=O)=O	JOEMRRCMXVASPX	[-64.03999999999999]	[['332_0', '55_0', '6_0']]
G3	C(CC(C(C(C=O)O)O)O)=O	DRFVLWXFACEMHK	[-68.77]	[['334_0', '57_0', '6_0']]
G3	C(C(C(CC(C=O)O)O)O)=O	ZAZMXMODCOTURY	[-68.77]	[['336_0', '57_0', '6_0']]
G3	C(C(C(CO)O)C(C=O)O)=O	HIPAGLNATSXMFT	[-62.04]	[['338_0', '57_0', '6_0']]
G3	C(C(C(CC(CO)=O)O)O)=O	ZNSXGNZNZVWMBM	[-70.77000000000001]	[['340_0', '59_0', '6_0']]
G3	C(CC(CO)(C(C=O)O)O)=O	IEHDXMKHICIRFU	[-66.13]	[['342_0', '59_0', '6_0']]
G3	C(C(C(CO)=O)C(CO)O)=O	SSUDYWNAIOLNKR	[-64.05000000000001]	[['344_0', '59_0', '6_0']]
G3	C(CC(C(C(CO)O)O)=O)=O	RXVDSZVTHMJWNV	[-83.60000000000001]	[['346_0', '59_0', '6_0']]
G3	C(C(C(C(C(C)=O)O)O)O)=O	MKKWPESNDMZCAX	[-75.17]	[['348_0', '61_0', '6_0']]
G3	C(C(C(C)(C(C=O)O)O)O)=O	LTIXNERYDWMFRC	[-70.53]	[['350_0', '61_0', '6_0']]
G3	C(C(C(CC(CO)O)=O)O)=O	QBHBJCPWTMMDIG	[-127.73]	[['352_0', '61_0', '6_0']]
G3	C(C(CCO)O)(O)=O	UFYGCFHQAXXBCF	[-72.67]	[['361_0', '55_0', '6_0']]
G3	C(C(C(C(CO)O)O)=O)=O	VDSAQEDKJUSZPS	[-60.89]	[['367_0', '45_0', '4_0', '14_0']]
G3	C(C(C(C(CO)O)O)O)O	HEBKCHPVOIAQTA	[-70.94]	[['393_0', '16_0', '4_0']]
G3	C(C(CO)(CO)O)O	HXYJZJOQRLOUPP	[-84.52]	[['400_0', '38_0', '4_0']]
G3	C(C(CO)(C(CO)O)O)O	SDXWEZQDLHNYFR	[-68.28999999999999]	[['402_0', '40_0', '6_0']]
G3	C(C(CO)(CO)O)(O)=O	OJSKBWPAXWEHAA	[-89.74000000000001]	[['425_0', '38_0', '4_0']]
G3	C(CO)(C(CO)(C(C)O)O)=O	CLUAZGGJJOMMPW	[-97.46]	[['467_0', '26_0', '63_0', '6_0', '12_0']]
G3	C(C(CO)(C(C)O)O)(O)=O	WKRKESUWTIYINN	[-141.85999999999999]	[['475_0', '32_0', '63_0', '4_0', '12_0']]
G3	C(C(CO)(C(C=O)O)O)=O	YAVWISVERGTOHY	[-56.25]	[['487_0', '4_0', '20_0', '14_0']]
G3	C(C(CO)(C(CC=O)O)O)=O	KMZKNPYVLFCBJR	[-111.96000000000001]	[['492_0', '4_0', '51_0', '4_0']]
G3	C(C(CO)(C(C=O)(C)O)O)=O	LLKJMSOIEJAFOF	[-113.71000000000001]	[['494_0', '4_0', '53_0', '4_0']]
G3	C(C(CO)(C(C(C)=O)O)O)=O	KSPZMTWVXVIPRP	[-118.35]	[['496_0', '4_0', '53_0', '4_0']]
G3	C(C(CO)(C(C)O)O)=O	JQKDKERJPQSZLX	[-111.69]	[['516_0', '4_0', '63_0', '12_0']]
G3	C(C(C(CO)O)(C(C)O)O)=O	DXBKAMXGCDVWGR	[-95.46]	[['526_0', '6_0', '63_0', '12_0']]
G3	C(CO)(C(CO)(CO)O)=O	KNWXMEXZFWGIPP	[-45.34]	[['529_0', '26_0', '6_0']]
G3	C(C(C(C)=O)(C(CO)O)O)=O	UZMKAOBHDMJGHD	[-72.53]	[['540_0', '61_0', '6_0']]
G3	C(C(C(C=O)O)O)(O)=O	JYPFTOPPKDHQEW	[-59.47]	[['556_0', '14_0', '20_0', '14_0']]
G3	C(CC(C(C(O)=O)O)O)=O	WNQQMTOQQGYXCH	[-115.17000000000002]	[['564_0', '14_0', '51_0', '4_0']]
G3	C(C(C)(C(C(O)=O)O)O)=O	AZFXWNDHXWNFRE	[-116.91999999999999]	[['566_0', '14_0', '53_0', '4_0']]
G3	C(C(C(C(C)=O)O)O)(O)=O	HDGNQJMIIPXNJZ	[-121.57]	[['568_0', '14_0', '53_0', '4_0']]
G3	C(C(C(C)O)O)(O)=O	LOUGYXZSURQALL	[-114.91]	[['586_0', '14_0', '63_0', '12_0']]
G3	C(C(C(CO)O)(CC=O)O)=O	TXIVWMLJMZFCNJ	[-66.13]	[['590_0', '57_0', '6_0']]
G3	C(CC(C=O)O)(C(CO)O)=O	LVYQXQPAYHNLQF	[-70.77]	[['604_0', '18_0', '6_0']]
G3	C(C(CO)(CC(CO)=O)O)=O	RHBBDYUCVCIMPI	[-113.94999999999999]	[['627_0', '36_0', '4_0', '4_0']]
G3	C(C(C(CCO)=O)(CO)O)=O	XXCROCVPGJNKKK	[-113.94999999999999]	[['629_0', '36_0', '4_0', '4_0']]
G3	C(C(C(C(CO)O)=O)CO)=O	VSCZDXPKQZQUMT	[-109.87]	[['631_0', '36_0', '4_0', '4_0']]
G3	C(C(CC(CO)=O)O)(O)=O	YVXXPGROVYTBAL	[-117.17]	[['644_0', '45_0', '4_0', '14_0']]
G3	C(C(C(CCO)=O)O)(O)=O	GEKHDLNOKHNDDY	[-117.17]	[['646_0', '45_0', '4_0', '14_0']]
G3	C(CC(C(CO)O)=O)(O)=O	FNWZJGILAMUKQY	[-117.17]	[['648_0', '45_0', '4_0', '14_0']]
G3	C(C(CC(CO)O)=O)(O)=O	UQIGQRSJIKIPKZ	[-117.17]	[['650_0', '45_0', '4_0', '14_0']]
G3	C(C1C(C(C(O)O1)O)O)O	HMFHBZSHGGEWLO	[-47.44]	[['684_0', '16_0', '4_0']]
G3	C1C(C(C(O)O1)(CO)O)O	BFZQQKBQRCDWST	[-50.76]	[['690_0', '40_0', '6_0']]
G3	C1C(C(C(C(O)O1)O)O)O	SRBFZHDQGSBBOR	[-50.3]	[['696_0', '16_0', '4_0']]
G3	C1(C(C(C(CO)O1)O)O)=O	CUOKHACJLGPRHD	[-96.28999999999999]	[['707_0', '45_0', '4_0', '14_0']]
G3	C1(C(C(C(CO1)O)O)O)=O	XXBSUZSONOQQGK	[-99.14]	[['711_0', '45_0', '4_0', '14_0']]
G4	C1(C(C(C(C1O)O)O)O)=O	RPLBTYVHLJOBKZ	[-158.4]	[['717_0', '69_0', '20_0', '24_0', '14_0', '4_0']]
G4	C(C1C(C(C(C1O)O)O)=O)=O	YWMHEJKIEFCJJV	[-208.63]	[['719_0', '81_0', '20_0', '59_0', '14_0', '6_0']]
G4	C1(C(C(CC(C1O)O)O)O)=O	DNWNZFQXCIWUSQ	[-207.72000000000003]	[['722_0', '90_0', '24_0', '51_0', '4_0', '4_0']]
G4	C1(C(C(C(C)(C1O)O)O)O)=O	QCSROUGOTJEQJK	[-221.66000000000003]	[['724_0', '94_0', '24_0', '53_0', '4_0', '4_0']]
G4	C1(C(C(C(CO)(C1)O)O)O)=O	UHQNRQMTZAQCBL	[-208.20000000000002]	[['726_0', '96_0', '24_0', '53_0', '4_0', '4_0']]
G4	C(C1C(C(C(C1O)=O)CO)O)=O	QIEUDWQTLABOOV	[-218.41000000000003]	[['754_0', '162_0', '51_0', '55_0', '4_0', '6_0']]
G4	C(C1C(C(C=O)C(C1O)O)O)=O	ZSMZKAQLWLFJMO	[-196.66000000000003]	[['757_0', '166_0', '51_0', '57_0', '4_0', '6_0']]
G4	C(C1C(CC(C(C1O)O)=O)O)=O	AUPYDEHKCNYTSW	[-221.26999999999998]	[['760_0', '172_0', '51_0', '59_0', '4_0', '6_0']]
G4	C(C1C(C(C(CC1O)O)O)=O)=O	YRTULFSSNUAODY	[-257.96]	[['762_0', '176_0', '51_0', '59_0', '4_0', '6_0']]
G4	C1(C(CO)C(C=O)(CC1O)O)=O	LMGIZDHHGOFZPU	[-221.74]	[['772_0', '196_0', '53_0', '55_0', '4_0', '6_0']]
G4	C1(C(C(C(C(C1)O)=O)CO)O)=O	SXWMINGTHUABIK	[-243.01999999999998]	[['774_0', '196_0', '53_0', '55_0', '4_0', '6_0']]
G4	C(C1(C(CO)C(C(C1)=O)O)O)=O	TXXBHPYMVGOHPZ	[-221.75]	[['776_0', '200_0', '53_0', '55_0', '4_0', '6_0']]
G4	C(C1C(C(CC1(C=O)O)O)O)=O	FIGJQDXEZHVUOS	[-199.98000000000002]	[['779_0', '202_0', '53_0', '57_0', '4_0', '6_0']]
G4	C(C1C(C(CC(C1O)=O)O)O)=O	GMRKEEHCNPHRFK	[-221.26999999999998]	[['781_0', '202_0', '53_0', '57_0', '4_0', '6_0']]
G4	C(C(C1C(C(CC1O)O)O)=O)=O	LXEPBSPLUZYIKY	[-198.81]	[['783_0', '202_0', '53_0', '57_0', '4_0', '6_0']]
G4	C1(C(C(C(C1)O)C(C=O)O)O)=O	IRXAXBQTRSAYJV	[-218.57]	[['787_0', '208_0', '53_0', '57_0', '4_0', '6_0']]
G4	C(C1(CC(CC(C1O)=O)O)O)=O	ARTFWEBDMQPPEL	[-224.59999999999997]	[['789_0', '210_0', '53_0', '59_0', '4_0', '6_0']]
G4	C(CO)(C1C(CC(C1O)=O)O)=O	FZRWVEDGHRHXTC	[-220.57999999999998]	[['791_0', '210_0', '53_0', '59_0', '4_0', '6_0']]
G4	C1(C(C(C(CC(C1)O)=O)O)O)=O	DNSVTLFKOGIDGH	[-245.88]	[['793_0', '210_0', '53_0', '59_0', '4_0', '6_0']]
G4	C(C1C(CO)(CC(C1O)=O)O)=O	XVHPLUHOTOURLI	[-221.75]	[['795_0', '212_0', '53_0', '59_0', '4_0', '6_0']]
G4	C(C1C(C(C(C1(C)O)O)O)=O)=O	WPAPXOCDBQCIPU	[-271.9]	[['797_0', '214_0', '53_0', '59_0', '4_0', '6_0']]
G4	C(C1C(C(C(C)(C1O)O)O)=O)=O	DMLHUZOIIHWSRY	[-271.9]	[['799_0', '216_0', '53_0', '59_0', '4_0', '6_0']]
G4	C(CC1(C(C(C(C1)=O)O)O)O)=O	AEPUFZVZGQIGAD	[-230.97999999999996]	[['806_0', '220_0', '53_0', '59_0', '4_0', '6_0']]
G4	C(C1(CC(C(C(C1)=O)O)O)O)=O	IACPYHVNAFOEMI	[-224.59999999999997]	[['808_0', '222_0', '53_0', '61_0', '4_0', '6_0']]
G4	C1(CC(C(CC(C1O)O)=O)O)=O	ZVWQVMHJCGGFNL	[-245.88]	[['810_0', '222_0', '53_0', '61_0', '4_0', '6_0']]
G4	C1(C(CC(C(C=O)O)(C1)O)O)=O	MTTDGNKGKZLDMW	[-221.89999999999998]	[['813_0', '228_0', '53_0', '61_0', '4_0', '6_0']]
G4	C1(C(CC(C1CO)O)O)=O	ABOBCDUIJRUDLU	[-213.91]	[['817_0', '240_0', '55_0', '63_0', '6_0', '12_0']]
G4	C(C1C(C(CC1O)O)O)=O	PPSMBMYANALASS	[-192.15]	[['819_0', '244_0', '57_0', '63_0', '6_0', '12_0']]
G4	C1(C(C(CC(C1)O)O)O)=O	CZMTWXOIKCDEOJ	[-216.77]	[['822_0', '252_0', '59_0', '63_0', '6_0', '12_0']]
G4	C1(C(C(C(C1)O)O)O)=O	SLBWSONHNKBIMR	[-175.43]	[['825_0', '324_0', '53_0', '4_0']]
G4	C1(C(C(C(C1CO)O)O)O)=O	LKUVPWZWJWOYKB	[-159.04000000000002]	[['827_0', '330_0', '55_0', '6_0']]
G4	C(C1C(C(C(C1O)O)O)O)=O	FWWLBYLLLIZJAL	[-137.28000000000003]	[['829_0', '334_0', '57_0', '6_0']]
G4	C1(C(C(C(C(C1)O)O)O)O)=O	GZYCZKBRQBKGJW	[-161.89]	[['831_0', '340_0', '59_0', '6_0']]
G4	C(C1(C(CC(C1O)O)=O)O)=O	BESORNCBPBQUNJ	[-175.26999999999998]	[['836_0', '455_0', '20_0', '61_0', '14_0', '6_0']]
G4	C(C1(C(CC(CC1O)O)=O)O)=O	VMPQVEHWYPATEV	[-224.59999999999997]	[['846_0', '479_0', '51_0', '61_0', '4_0', '6_0']]
G4	C(C1(C(CC(C1(C)O)O)=O)O)=O	LCIIHXCGCVESHD	[-238.55]	[['848_0', '481_0', '53_0', '61_0', '4_0', '6_0']]
G4	C(C1(C(CC(C)(C1O)O)=O)O)=O	KSZUGYGHDUSROW	[-238.55]	[['850_0', '483_0', '53_0', '61_0', '4_0', '6_0']]
G4	C(C)(C1(C(CC(C1O)=O)O)O)=O	MSDMGYIETYMHLU	[-237.37]	[['852_0', '483_0', '53_0', '61_0', '4_0', '6_0']]
G4	C(C1(C(C)(CC(C1O)=O)O)O)=O	STPPOUBRBMQYGG	[-238.55]	[['854_0', '483_0', '53_0', '61_0', '4_0', '6_0']]
G4	C1(C(C(C(C1)O)(CO)O)O)=O	PMAODVYIDXXALG	[-208.19]	[['856_0', '496_0', '4_0', '53_0', '4_0']]
G4	C(C1C(CC(C1(C=O)O)O)O)=O	KYUCBVBJBRGXTD	[-199.99]	[['867_0', '546_0', '51_0', '57_0', '4_0', '6_0']]
G4	C(C1C(C(C=O)(CC1O)O)O)=O	UDDWZBFOJNIHRA	[-199.99]	[['869_0', '546_0', '51_0', '57_0', '4_0', '6_0']]
G4	C(CC1(C(CC(C1O)=O)O)O)=O	QIUPYVIYSDJWEC	[-230.96999999999997]	[['871_0', '550_0', '53_0', '57_0', '4_0', '6_0']]
G4	C(C(C(C)O)C(CCO)O)=O	PYSZIFWAJDKTNW	[-248.87999999999997]	[['957_0', '262_0', '304_0', '63_0', '63_0', '63_0', '12_0', '12_0', '12_0']]
G4	C(C(CO)C(CC(C)O)O)=O	RVQGVBCPLPOHQI	[-248.87999999999997]	[['959_0', '262_0', '304_0', '63_0', '63_0', '63_0', '12_0', '12_0', '12_0']]
G4	C(C(C(C)O)C(C(CO)=O)O)=O	CPUSMWJJBISCJI	[-199.83]	[['967_0', '262_0', '363_0', '63_0', '63_0', '32_0', '12_0', '12_0', '4_0']]
